Country,BirthRate,BusinessTaxRate,CO2Emissions,GDP,HealthExpCapita,InfantMortalityRate,InternetUsage,LendingInterest,LifeExpectancyFemale,MobilePhoneUsage,PopulationTotal,Cluster
Cayman Islands,0.02,49.0516561,455,15493320082,193,0.02,0.1,0.119,75,0.3,41685,2
Chile,0.017,49.0516561,58694,79328640264,390,0.009,0.2,0.148,80,0.2,15454402,1
Colombia,0.023,49.0516561,57924,99886577576,148,0.021,0,0.188,75,0.1,39897984,1
Costa Rica,0.02,49.0516561,5475,15946443103,287,0.011,0.1,0.119,80,0.1,3929588,2
Cuba,0.013,49.0516561,26039,30565200000,166,0.007,0,0.119,79,0,11138416,2
Curacao,0.02,49.0516561,8529,15493320082,193,0.02,0.1,0.119,75,0.5,133860,2
Dominica,0.02,49.0516561,103,324463833,231,0.014,0.1,0.117,75,0,69679,2
Dominican Republic,0.025,49.0516561,20117,23996656676,173,0.033,0,0.119,74,0.1,8663421,2
Ecuador,0.025,49.0516561,20942,18327386416,53,0.028,0,0.171,76,0,12533087,0
El Salvador,0.025,49.0516561,5743,13134100000,179,0.027,0,0.14,74,0.1,5958794,0
Greenland,0.016,49.0516561,532,1068024994,193,0.02,0.3,0.119,70,0.3,56200,2
Grenada,0.019,49.0516561,191,523256355,339,0.014,0,0.116,73,0,101620,2
Guatemala,0.037,49.0516561,9916,19290566570,96,0.04,0,0.209,71,0.1,11204183,0
Guyana,0.022,49.0516561,1610,712667925,56,0.039,0.1,0.173,67,0.1,744471,0
Haiti,0.031,49.0516561,1368,3664503846,26,0.075,0,0.119,59,0,8578234,0
Honduras,0.032,49.0516561,5031,7105529647,76,0.031,0,0.119,73,0,6235561,0
Jamaica,0.021,49.0516561,10319,9008629729,189,0.02,0,0.119,73,0.1,2589389,2
Mexico,0.024,49.0516561,8529,15493320082,328,0.022,0.1,0.169,77,0.1,5971526,2
Nicaragua,0.028,49.0516561,3762,5107329010,54,0.033,0,0.181,72,0,5100920,0
Panama,0.024,49.0516561,5790,11620500000,295,0.022,0.1,0.105,78,0.1,3054812,2
Paraguay,0.028,49.0516561,3689,8195993231,124,0.028,0,0.119,72,0.2,5350253,0
Peru,0.024,49.0516561,30297,50681123109,96,0.03,0,0.119,73,0,26000080,0
Puerto Rico,0.016,49.0516561,8529,61701810000,193,0.02,0.1,0.119,81,0.3,3810605,2
Sint Maarten (Dutch part),0.02,49.0516561,8529,15493320082,193,0.02,0.1,0.119,75,0.5,30519,2
St. Kitts and Nevis,0.02,49.0516561,103,416566954,392,0.014,0.1,0.111,75,0,45544,2
St. Lucia,0.02,49.0516561,330,764457723,272,0.015,0.1,0.131,73,0,156949,2
St. Vincent and the Grenadines,0.02,49.0516561,158,397447007,137,0.019,0,0.115,73,0,107897,2
Suriname,0.023,49.0516561,2127,892164364,167,0.03,0,0.119,71,0.1,466668,2
Trinidad and Tobago,0.015,49.0516561,24514,8154315708,260,0.025,0.1,0.165,72,0.1,1267980,2
Turks and Caicos Islands,0.02,49.0516561,15,15493320082,193,0.02,0.1,0.119,75,0.5,18876,2
United States,0.014,49.0516561,8529,15493320082,193,0.007,0.4,0.092,79,0.4,5971526,2
Uruguay,0.016,49.0516561,5306,22823255806,773,0.015,0.1,0.119,78,0.1,3320841,2
"Venezuela, RB",0.024,49.0516561,8529,1.17148E+11,273,0.018,0,0.119,75,0.2,24407553,1
Virgin Islands (U.S.),0.014,49.0516561,8529,15493320082,193,0.02,0.1,0.119,80,0.3,108639,2
Algeria,0.019,49.0516561,84293,54744716706,65,0.033,0,0.095,71,0,32150198,1
Angola,0.05,49.0516561,9732,8936079253,36,0.02,0,0.119,47,0,14385283,0
Benin,0.042,49.0516561,1738,2499269391,16,0.088,0,0.119,57,0,7174911,0
Botswana,0.027,49.0516561,4334,5489646903,175,0.054,0,0.158,51,0.2,1783349,0
Burkina Faso,0.046,49.0516561,997,2812845486,12,0.095,0,0.119,52,0,11946080,0
Burundi,0.042,49.0516561,216,876794723,7,0.089,0,0.168,50,0,6839376,0
Cameroon,0.041,49.0516561,3421,9633109257,27,0.09,0,0.207,53,0,16350440,0
Central African Republic,0.039,49.0516561,246,931833294,10,0.02,0,0.207,45,0,3704045,0
Chad,0.051,49.0516561,172,1709347777,12,0.105,0,0.207,48,0,8620917,0
Comoros,0.039,49.0516561,88,220115655,11,0.073,0,0.12,60,0.5,541976,0
"Congo, Dem. Rep.",0.047,49.0516561,1566,7438189100,6,0.02,0,0.119,48,0,48167045,0
"Congo, Rep.",0.039,49.0516561,862,2794259756,21,0.075,0,0.207,54,0,3205636,0
Cote d'Ivoire,0.038,49.0516561,7726,10545285037,34,0.098,0,0.119,47,0,16420173,0
Djibouti,0.03,49.0516561,385,572417441,41,0.078,0,0.115,59,0,733732,0
"Egypt, Arab Rep.",0.025,49.0516561,8529,97632008051,76,0.034,0,0.133,71,0,5971526,1
Equatorial Guinea,0.039,49.0516561,3095,1461139008,50,0.096,0,0.207,49,0,534592,0
Eritrea,0.04,49.0516561,631,752368494,7,0.056,0,0.119,59,0.5,4101609,0
